"","id","name","county","a1011","a1112","a1213","a1314","a1415","a1516","a1617","a1718","cl1011","cl1112","cl1213","cl1314","cl1415","cl1516","cl1617","cl1718","e1011","e1112","e1213","e1314","e1415","e1516","e1617","e1718","h1011","h1112","h1213","h1314","h1415","h1516","h1617","h1718","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","ct"
"1","E06000001","Hartlepool",NA,354,328,337,345,335,325,319,315,133,107,91,89,79,61,73,74,127,116,108,107,99,96,102,96,74,68,56,53,49,44,36,32,10,11,4,6,5,5,5,5,4,4,4,4,4,4,-212
"2","E06000002","Middlesbrough",NA,380,353,337,317,296,279,316,314,134,105,102,87,70,47,37,36,132,111,93,92,85,87,81,81,84,65,65,76,48,56,32,41,6,5,5,6,6,15,12,14,15,16,17,17,18,19,-160
"3","E06000003","Redcar and Cleveland",NA,434,382,349,329,311,316,315,303,73,58,64,59,59,44,41,37,121,97,93,95,94,89,83,82,30,30,31,29,34,23,22,18,6,6,7,6,6,6,6,5,5,5,4,4,4,3,-143
"4","E06000004","Stockton-on-Tees",NA,296,288,266,268,247,237,277,260,72,69,61,48,41,43,38,38,72,74,56,73,61,74,71,64,46,32,29,27,35,23,23,18,15,10,11,11,9,7,10,8,8,7,6,5,4,3,-17
"5","E06000005","Darlington",NA,319,290,281,290,300,302,313,271,82,66,59,53,51,48,42,43,84,79,69,71,64,71,71,63,49,48,48,41,34,27,20,19,15,11,15,18,21,24,21,17,21,24,28,31,34,38,-17
"6","E06000006","Halton",NA,348,337,310,299,309,297,298,305,100,103,104,100,99,96,77,78,130,114,105,101,98,92,85,84,52,34,34,21,29,26,18,15,7,7,8,8,9,9,5,5,5,5,5,6,6,6,-89
"7","E06000007","Warrington",NA,298,299,275,264,282,277,269,280,48,51,35,53,46,45,44,44,77,73,70,65,64,65,56,57,49,45,47,37,32,26,26,23,5,17,1,1,2,2,1,1,1,1,1,1,1,1,-20
"8","E06000008","Blackburn with Darwen",NA,307,291,287,277,284,288,293,307,110,90,93,85,83,70,59,46,115,99,90,88,87,85,85,69,80,61,63,70,66,59,40,25,4,7,6,8,13,7,5,6,6,6,6,6,6,5,-166
"9","E06000009","Blackpool",NA,333,348,331,317,310,331,320,311,100,84,80,79,81,95,99,65,184,174,142,163,149,155,141,133,75,62,45,45,42,32,42,24,6,6,6,6,6,6,6,3,4,5,6,7,8,8,-252
"10","E06000010","Kingston upon Hull",NA,304,331,306,304,336,284,274,281,95,85,84,90,75,66,66,69,126,113,129,128,119,109,107,110,99,73,63,55,26,36,47,49,7,9,8,8,8,8,8,8,8,8,8,8,8,8,-123
"11","E06000011","East Riding of Yorkshire",NA,249,224,220,219,233,245,248,255,54,55,51,48,53,52,46,46,110,122,107,101,103,101,97,95,26,23,22,16,14,11,10,8,25,31,25,24,25,15,18,15,15,16,16,16,17,17,-72
"12","E06000012","North East Lincolnshire",NA,340,324,301,290,293,257,264,276,53,66,66,56,55,44,42,39,133,98,96,101,95,70,83,79,68,56,53,53,44,46,37,35,9,9,9,10,10,10,8,8,8,8,8,8,8,8,-111
"13","E06000013","North Lincolnshire",NA,201,253,230,222,228,225,225,227,65,66,71,66,57,64,58,63,124,112,120,108,114,103,111,106,95,36,28,30,25,22,18,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-129
"14","E06000014","York",NA,264,270,264,255,255,243,248,253,50,49,40,41,39,35,27,24,94,90,85,74,74,72,73,74,49,47,38,42,39,33,31,25,15,7,6,6,11,8,8,7,8,9,9,10,11,11,-12
"15","E06000015","Derby City",NA,270,311,288,282,280,291,301,295,101,61,60,43,40,35,34,40,111,85,84,80,76,69,62,63,86,69,57,31,29,32,27,22,0,7,7,7,7,7,7,9,11,13,15,17,20,22,-40
"16","E06000016","Leicester City",NA,318,334,315,302,311,288,308,279,106,99,74,70,72,72,53,54,72,71,76,68,73,58,65,73,80,66,56,40,37,40,30,28,11,12,24,24,26,15,15,15,15,15,15,15,15,15,-63
"17","E06000017","Rutland",NA,232,257,268,270,275,286,285,273,49,34,35,34,32,25,29,29,115,105,106,107,103,117,115,118,46,9,13,12,9,6,13,11,2,7,7,8,8,10,10,10,9,8,8,7,6,6,-51
"18","E06000018","City of Nottingham",NA,329,318,315,290,297,290,288,319,87,88,85,71,69,60,51,49,120,91,80,114,94,108,107,97,129,104,76,65,62,66,53,49,7,9,12,12,12,20,11,8,10,11,12,13,14,16,-85
"19","E06000019","Herefordshire",NA,337,339,344,316,291,291,296,305,62,51,48,37,39,27,25,11,119,116,120,106,99,88,88,91,58,40,33,48,19,8,14,7,5,5,6,5,5,7,7,7,3,-2,-6,-10,-15,-19,-54
"20","E06000020","Telford and the Wrekin",NA,270,306,281,276,266,257,261,267,78,63,51,57,61,63,65,56,100,110,104,102,99,97,88,88,52,45,41,35,26,25,21,18,5,3,6,3,3,4,4,5,5,5,5,5,5,6,-126
"21","E06000021","Stoke-on-Trent",NA,323,306,309,289,285,287,325,333,81,51,70,60,55,54,57,39,124,102,101,97,97,102,95,92,56,49,44,44,35,28,22,22,5,6,7,8,12,9,9,9,9,9,9,9,9,9,-185
"22","E06000022","Bath and North East Somerset",NA,331,324,309,308,310,337,331,340,43,30,32,19,17,18,11,-14,114,102,98,101,103,109,106,101,50,50,47,53,37,28,27,11,15,13,16,10,10,9,9,13,12,12,12,12,12,12,-85
"23","E06000023","Bristol",NA,351,361,347,322,374,341,346,343,89,85,85,75,75,60,61,62,127,105,86,58,87,44,81,88,100,91,80,65,50,70,55,60,9,10,10,8,67,79,20,20,20,20,20,20,20,20,-102
"24","E06000024","North Somerset",NA,305,324,306,287,309,308,314,299,57,46,38,31,38,40,33,26,80,94,99,81,82,70,82,82,51,51,50,54,49,42,40,36,6,8,8,9,10,8,8,8,9,10,11,12,12,13,-47
"25","E06000025","South Gloucestershire",NA,290,328,310,302,300,293,284,312,38,36,29,30,29,26,26,21,108,114,108,112,106,101,93,97,34,33,28,25,25,23,19,18,9,9,9,9,9,9,7,9,9,9,9,9,9,9,-39
"26","E06000026","Plymouth",NA,323,310,310,293,302,278,282,280,74,64,49,30,33,33,43,37,108,83,87,85,76,70,57,97,66,56,54,49,24,21,23,22,12,11,11,11,30,30,30,24,24,24,24,24,24,24,-77
"27","E06000027","Torbay",NA,395,358,345,322,318,325,300,280,86,78,68,62,58,48,43,35,127,113,116,120,109,96,91,95,105,76,65,55,48,29,28,26,4,9,8,4,4,4,4,5,5,5,5,5,5,5,-141
"28","E06000028","Bournemouth",NA,345,324,309,290,285,297,313,304,69,59,66,71,63,51,56,41,95,97,92,91,93,85,87,72,92,68,71,76,65,35,51,38,18,20,21,22,15,10,10,8,8,8,9,9,9,9,-96
"29","E06000029","Poole",NA,294,297,286,285,270,289,282,281,65,59,57,56,57,52,48,46,106,103,89,90,84,81,72,68,56,28,28,32,26,23,25,19,8,7,6,6,6,6,6,6,6,6,6,6,6,6,-76
"30","E06000030","Swindon",NA,265,276,291,271,273,270,282,299,78,69,64,60,69,59,46,33,102,97,88,71,76,75,85,71,50,48,43,45,29,29,24,22,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
"31","E06000031","Peterborough",NA,288,293,310,282,268,242,237,242,63,45,43,41,30,26,22,25,67,63,64,62,67,62,48,54,44,21,23,18,25,26,19,25,4,6,6,6,6,6,6,6,6,6,6,6,6,6,-49
"32","E06000032","Luton",NA,289,289,259,240,252,264,237,273,38,43,43,29,24,24,26,30,107,96,88,89,89,82,77,79,46,30,24,37,32,41,42,50,7,7,8,8,10,12,14,14,14,14,14,14,14,14,-69
"33","E06000033","Southend-on-Sea",NA,307,298,282,231,255,247,246,217,75,66,67,65,63,61,57,51,97,93,95,91,88,79,77,77,65,60,47,46,50,47,41,40,11,12,11,12,11,11,11,11,11,11,11,11,11,11,-69
"34","E06000034","Thurrock",NA,253,253,255,242,256,213,234,221,47,39,44,34,35,25,21,25,110,105,105,120,113,100,92,91,35,27,31,47,33,11,9,10,2,5,8,8,8,8,8,8,11,14,17,20,23,26,-52
"35","E06000035","The Medway Towns",NA,284,279,261,256,253,246,236,234,71,66,63,59,58,55,48,52,102,86,91,97,98,96,90,90,55,40,23,35,39,30,28,35,9,8,7,7,11,8,8,5,5,5,5,5,5,6,-37
"36","E06000036","Bracknell Forest",NA,232,293,278,281,284,293,279,275,75,69,64,65,61,58,55,55,110,104,96,88,86,89,82,82,36,25,38,38,32,32,26,27,9,10,10,13,10,11,13,11,9,7,5,3,1,-1,-14
"37","E06000037","West Berkshire",NA,292,304,282,262,271,286,270,273,54,49,42,36,38,38,37,30,154,153,140,135,135,142,132,131,57,55,44,34,36,36,24,14,7,9,8,8,8,8,6,6,6,6,6,5,5,5,13
"38","E06000038","Reading",NA,348,361,331,308,291,283,290,NA,74,52,47,52,49,47,43,NA,111,110,103,94,99,93,94,NA,19,44,37,46,34,45,35,NA,7,6,0,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,39
"39","E06000039","Slough",NA,283,290,263,261,274,258,257,251,45,41,37,38,39,32,33,37,114,104,100,92,94,96,106,103,89,73,41,66,50,31,21,38,5,6,8,8,8,8,8,8,8,8,8,8,8,8,-47
"40","E06000040","Windsor and Maidenhead",NA,254,262,254,254,262,277,248,248,43,37,33,29,24,23,19,16,116,114,104,111,121,107,101,84,38,26,29,28,18,17,29,33,5,4,4,6,5,5,5,5,7,9,11,12,14,16,-151
"41","E06000041","Wokingham",NA,295,314,326,314,300,299,284,289,34,30,26,30,17,20,22,15,102,102,81,85,91,92,85,82,20,11,4,3,12,11,10,9,9,9,9,10,11,11,0,10,9,8,7,6,5,5,56
"42","E06000042","Milton Keynes",NA,236,236,227,239,253,251,227,226,56,49,41,44,34,42,28,29,115,103,101,97,90,87,97,120,62,57,57,44,12,39,37,44,7,7,11,10,10,9,7,7,7,7,7,8,8,8,-50
"43","E06000043","Brighton and Hove",NA,354,325,313,313,305,293,292,297,103,86,80,70,66,57,53,46,130,105,96,91,89,83,76,74,102,95,88,83,76,66,60,77,13,16,17,17,14,9,13,11,11,10,10,10,9,9,-24
"44","E06000044","Portsmouth",NA,280,277,271,254,245,239,236,241,85,91,71,68,69,58,47,36,135,111,102,87,87,80,68,70,65,69,72,50,41,27,16,17,25,20,24,24,21,11,13,16,17,19,20,22,23,25,-90
"45","E06000045","Southampton",NA,302,295,285,275,292,278,269,262,80,66,69,63,52,54,46,33,95,99,86,81,76,71,63,64,73,53,61,55,49,45,39,35,20,17,24,30,53,20,13,11,11,11,11,11,11,11,-27
"46","E06000046","Isle of Wight",NA,401,326,344,341,359,388,377,380,70,58,46,45,34,29,22,22,103,102,101,112,121,121,91,93,75,59,57,49,48,42,34,35,7,8,9,9,9,8,7,12,8,4,1,-3,-7,-10,-23
"47","E06000047","Durham",NA,365,321,306,273,263,263,269,258,82,73,70,65,62,59,56,50,120,115,111,97,93,98,90,87,51,53,56,48,40,35,32,29,27,17,22,24,28,29,29,23,24,26,27,29,30,32,-152
"48","E06000049","Cheshire East",NA,267,330,304,273,278,275,325,308,60,66,56,56,50,43,48,44,100,100,85,83,84,80,74,81,33,7,9,27,24,33,20,18,10,13,11,19,20,15,13,10,10,10,10,10,10,10,-12
"49","E06000050","Cheshire West and Chester",NA,308,300,274,273,262,264,273,282,60,54,47,47,49,44,40,41,130,128,105,99,87,83,82,79,56,51,57,42,38,32,18,27,19,25,21,23,21,22,23,25,24,24,23,23,22,21,-87
"50","E06000051","Shropshire",NA,262,246,258,266,239,263,272,302,57,53,57,54,34,31,29,27,118,109,122,96,114,97,83,79,28,34,18,22,13,13,9,13,2,6,10,7,15,15,18,26,26,27,28,28,29,30,-90
"51","E06000052","Cornwall",NA,292,278,306,294,267,273,289,311,57,53,52,46,43,36,36,33,140,138,117,108,101,99,108,124,62,55,39,71,36,19,35,37,15,34,45,55,54,49,50,42,36,31,25,19,14,8,-26
"52","E06000054","Wiltshire",NA,277,291,294,299,301,308,296,323,50,50,39,34,46,40,36,34,100,103,114,99,108,99,90,88,33,29,17,24,27,22,20,22,14,14,14,13,12,12,12,13,13,13,14,14,15,15,-43
"53","E06000055","Bedford",NA,306,341,322,306,302,308,324,327,84,75,63,61,46,42,38,31,121,108,97,89,78,85,82,71,65,46,47,48,37,31,29,25,7,8,8,8,8,10,12,12,14,16,18,19,21,23,-99
"54","E06000056","Central Bedfordshire",NA,258,276,288,260,215,312,293,285,45,27,25,19,19,25,16,12,91,98,96,82,86,83,78,78,24,22,19,13,16,24,25,24,5,7,11,14,9,32,22,25,25,25,25,25,25,25,-73
"55","E06000057","Northumberland",NA,321,331,316,297,268,272,247,261,66,62,70,72,57,53,38,39,110,104,133,125,124,119,98,97,6,15,18,17,29,16,9,3,28,28,22,30,28,29,37,37,40,42,45,47,49,52,-36
"56","E07000004","Aylesbury Vale","Buckinghamshire",235,258,241,245,257,270,252,250,18,23,21,18,17,14,12,10,53,49,46,37,37,33,35,35,25,18,18,18,16,13,11,17,19,26,36,40,31,17,17,25,7,-10,-28,-45,-63,-80,6
"57","E07000005","Chiltern","Buckinghamshire",235,258,241,245,257,270,252,250,18,23,21,18,17,14,12,10,55,57,54,38,37,35,38,36,18,16,16,15,17,12,7,-7,19,26,36,40,31,17,17,25,7,-10,-28,-45,-63,-80,-2
"58","E07000006","South Bucks","Buckinghamshire",235,258,241,245,257,270,252,250,18,23,21,18,17,14,12,10,58,54,56,57,55,48,50,48,-21,30,20,12,13,8,-49,25,19,26,36,40,31,17,17,25,7,-10,-28,-45,-63,-80,-2
"59","E07000007","Wycombe","Buckinghamshire",235,258,241,245,257,270,252,250,18,23,21,18,17,14,12,10,50,48,51,43,44,38,33,25,22,23,13,27,14,19,23,34,19,26,36,40,31,17,17,25,7,-10,-28,-45,-63,-80,-50
"60","E07000008","Cambridge","Cambridgeshire",284,292,291,291,265,240,245,231,18,18,15,15,14,12,11,10,59,63,62,61,55,57,59,56,30,34,36,33,32,34,35,33,10,10,10,15,24,21,26,19,13,8,2,-4,-10,-15,-36
"61","E07000009","East Cambridgeshire","Cambridgeshire",284,292,291,291,265,240,245,231,18,18,15,15,14,12,11,10,54,48,49,95,52,54,52,54,14,12,14,8,7,10,14,16,10,10,10,15,24,21,26,19,13,8,2,-4,-10,-15,-39
"62","E07000010","Fenland","Cambridgeshire",284,292,291,291,265,240,245,231,18,18,15,15,14,12,11,10,66,58,55,54,53,49,50,48,17,15,14,17,16,15,13,17,10,10,10,15,24,21,26,19,13,8,2,-4,-10,-15,-101
"63","E07000011","Huntingdonshire","Cambridgeshire",284,292,291,291,265,240,245,231,18,18,15,15,14,12,11,10,54,44,43,40,35,37,40,38,29,25,22,23,22,22,14,16,10,10,10,15,24,21,26,19,13,8,2,-4,-10,-15,0
"64","E07000012","South Cambridgeshire","Cambridgeshire",284,292,291,291,265,240,245,231,18,18,15,15,14,12,11,10,43,40,39,38,36,31,33,37,15,15,14,13,8,15,22,16,10,10,10,15,24,21,26,19,13,8,2,-4,-10,-15,2
"65","E07000026","Allerdale","Cumbria",311,315,312,296,288,285,285,284,25,19,18,21,19,17,4,11,68,61,55,57,54,56,70,70,18,13,14,11,13,16,13,15,10,15,16,15,15,15,14,9,10,12,13,14,15,16,-65
"66","E07000027","Barrow-in-Furness","Cumbria",311,315,312,296,288,285,285,284,25,19,18,21,19,17,4,11,43,43,35,38,40,41,47,26,27,22,20,18,20,26,18,17,10,15,16,15,15,15,14,9,10,12,13,14,15,16,-129
"67","E07000028","Carlisle","Cumbria",311,315,312,296,288,285,285,284,25,19,18,21,19,17,4,11,37,40,36,35,30,33,33,33,20,24,33,22,20,19,11,13,10,15,16,15,15,15,14,9,10,12,13,14,15,16,-107
"68","E07000029","Copeland","Cumbria",311,315,312,296,288,285,285,284,25,19,18,21,19,17,4,11,51,40,37,40,33,36,50,NA,30,12,0,9,20,20,26,NA,10,15,16,15,15,15,14,9,10,12,13,14,15,16,-99
"69","E07000030","Eden","Cumbria",311,315,312,296,288,285,285,284,25,19,18,21,19,17,4,11,57,53,50,48,50,52,47,48,22,22,16,20,23,11,1,16,10,15,16,15,15,15,14,9,10,12,13,14,15,16,-60
