"","E-code","ONS Code","Local authority","Class","Appropriations to(+) / from(-) Accumulated Absences Account : Trading Accounts and Adjustments : 747","Appropriations to(+)/ from(-) financial instruments adjustment account : Non-current Expenditure and Receipts : 789","Appropriations to(+)/ from(-) unequal pay back pay account : Non-current Expenditure and Receipts : 790","Appropriations to(+)/ from(-) schools' reserves : Revenue Expenditure Financing : 811","Appropriations to(+)/ from(-) public health financial reserves : Revenue Expenditure Financing : 814","Appropriations to(+)/ from(-) other earmarked financial reserves : Revenue Expenditure Financing : 815","Appropriations to(+)/ from(-) unallocated financial reserves : Revenue Expenditure Financing : 816","Estimated schools reserves level at 1 April : Reserves at 1 April 2017 : 911","Estimated public health financial reserves level at 1 April : Reserves at 1 April 2017 : 914","Estimated other earmarked financial reserves level at 1 April : Reserves at 1 April 2017 : 915","Estimated unallocated financial reserves level at 1 April : Reserves at 1 April 2017 : 916","Estimated schools reserves level at 31 March : Reserves at 31 March 2018 : 911","Estimated public health financial reserves level at 31 March : Reserves at 31 March 2018 : 914","Estimated other earmarked financial reserves level at 31 March : Reserves at 31 March 2018 : 915","Estimated unallocated financial reserves level at 31 March : Reserves at 31 March 2018 : 916","Housing Revenue Account (HRA) Reserves at 1 April 2017 : HRA Reserves : 983","Housing Revenue Account (HRA) Reserves at 31 March 2018 : HRA Reserves : 983","earmarked_reserves_spend","totalreserves_march","unallocated_reserves_spend","totalreserves_april","totalreservesspend"
"2","E4601","E08000025","Birmingham","MD",0,2168,"-26460","-6679","-4419","35544","69631","42506","7183",261206,100838,"35827","2764",296750,170469,"4735","4817",-35544,467219,"-69631","362044","-431675"
"3","E2321","E10000017","Lancashire","SC",218,3254,"0","-7327","0","-17263","-12563","72390","6215",222939,36000,"65063","6215",205676,23437,"0","0",17263,229113,"12563","258939","-246376"
"4","E2221","E10000016","Kent","SC",638,1917,"0","0","-191","1748","0","28340","3825",158815,37213,"28340","3634",160563,37213,"0","0",-1748,197776,"0","196028","-196028"
"5","E1721","E10000014","Hampshire","SC",-1656,0,"0","-9427","425","62902","900","46679","7412",373160,21498,"37252","7837",436062,22398,"0","0",-62902,458460,"-900","394658","-395558"
"6","E1521","E10000012","Essex","SC",3622,40,"0","-5655","2270","8882","-87","47303","1396",66994,55299,"41648","3666",75876,55212,"0","0",-8882,131088,"87","122293","-122206"
"7","E3620","E10000030","Surrey","SC",2857,278,"0","3847","0","-5370","0","47325","0",92013,21326,"51172","0",86643,21326,"0","0",5370,107969,"0","113339","-113339"
"8","E1920","E10000015","Hertfordshire","SC",2633,-328,"0","3943","734","33641","-819","82842","3946",62996,22199.7002933465,"86785","4680",96637,21380.7002933465,"0","0",-33641,118017.700293346,"819","85195.7002933465","-84376.7002933465"
"9","E4704","E08000035","Leeds","MD",0,0,"0","-1934","0","1007","5563","17158","0",34394,20070,"15224","0",35401,25633,"28102","24071",-1007,61034,"-5563","54464","-60027"
"10","E3820","E10000032","West Sussex","SC",0,0,"0","1485","0","-1370","1951","18999","0",155576,18335,"20484","0",154206,20286,"0","0",1370,174492,"-1951","173911","-175862"
"11","E2620","E10000020","Norfolk","SC",108,37,"0","-8077","-992","10040","235","13953","2749",58427,19300,"5876","1757",68467,19535,"0","0",-10040,88002,"-235","77727","-77962"
"12","E1021","E10000007","Derbyshire","SC",2555,0,"0","-4131","544","-11249","13766","35434","6659",160311,51267,"31303","7203",149062,65033,"0","0",11249,214095,"-13766","211578","-225344"
"13","E3421","E10000028","Staffordshire","SC",0,-13600,"0","-3015","0","4504","5216","29106","0",36079,20991,"26091","0",40583,26207,"0","0",-4504,66790,"-5216","57070","-62286"
"14","E3021","E10000024","Nottinghamshire","SC",0,15,"0","-6118","2387","6856","3164","26037","6896",121090,27706,"19919","9283",127946,30870,"0","0",-6856,158816,"-3164","148796","-151960"
"16","E1121","E10000008","Devon","SC",1221,719,"0","-246","159","24595","15","18388","226",82663,14679,"18142","385",107258,14694,"0","0",-24595,121952,"-15","97342","-97357"
"17","E4203","E08000003","Manchester","MD",-159,493,"0","1519","-308","52561","-3919","25971","308",202533,26226,"27490","0",255094,22307,"90991","99940",-52561,277401,"3919","228759","-224840"
"18","E4302","E08000012","Liverpool","MD",0,0,"0","-2492","-15","-6897","-1299","16016","2679",134016,17609,"13524","2664",127119,16310,"0","0",6897,143429,"1299","151625","-150326"
"19","E3520","E10000029","Suffolk","SC",NA,0,"0","-6392","-278","-1088","-14615","20987","4275",57666,69941,"14595","3997",56578,55326,"0","0",1088,111904,"14615","127607","-112992"
"20","E1302","E06000047","Durham UA","UA",-3545,0,"0","-1420","-493","-7197","1496","19835","3436",210273,23004,"18415","2943",203076,24500,"0","0",7197,227576,"-1496","233277","-234773"
"21","E4701","E08000032","Bradford","MD",1642,394,"0","-4666","-240","17571","0","25216","735",101792,25300,"20550","495",119363,25300,"0","0",-17571,144663,"0","127092","-127092"
"22","E2520","E10000019","Lincolnshire","SC",-48,-16,"0","-11855","-1047","29780","-100","24395","4477",131255,15300,"12540","3430",161035,15200,"0","0",-29780,176235,"100","146555","-146455"
