"","name","r10","r18","percentchange"
"1","Northamptonshire",13,0,-100
"2","Warrington",5,1,-73
"3","Wolverhampton",32,10,-69
"4","Wigan",44,16,-64
"5","Buckinghamshire",19,7,-63
"6","Sheffield",21,9,-59
"7","Hartlepool",10,4,-56
"8","Kirklees",19,9,-54
"9","Bournemouth",18,8,-54
"10","Newham",25,12,-51
"11","Stockton-on-Tees",15,8,-50
"12","Herefordshire",5,3,-46
"13","York",15,8,-44
"14","Southampton",20,11,-43
"15","The Medway Towns",9,5,-42
"16","East Riding of Yorkshire",25,15,-39
"17","Bromley",52,34,-35
"18","Tameside",26,17,-34
"19","Hampshire",33,22,-33
"20","Hertfordshire",32,21,-33
"21","Bury",11,8,-33
"22","Portsmouth",25,17,-33
"23","Blackpool",6,4,-33
"24","Surrey",31,21,-32
"25","Calderdale",10,7,-30
"26","Halton",7,5,-30
"27","Trafford",8,6,-28
"28","Islington",12,9,-27
"29","Derbyshire",86,65,-24
"30","Redcar & Cleveland",6,5,-24
"31","Greenwich",16,13,-19
"32","Sunderland",15,12,-19
"33","Brighton & Hove",13,11,-18
"34","Poole",8,6,-18
"35","Dorset",15,12,-17
"36","Gateshead",18,15,-16
"37","West Berkshire",7,6,-15
"38","Bath & North East Somerset",15,12,-15
"39","Lambeth",29,25,-14
"40","Sutton",8,7,-14
"41","Coventry",5,5,-12
"42","Rochdale",16,14,-12
"43","North East Lincolnshire",9,8,-10
"44","Durham",27,24,-9
"45","Havering",13,12,-7
"46","Wiltshire",14,13,-6
"47","South Gloucestershire",9,9,-5
"48","Worcestershire",13,12,-4
"49","Barnet",16,15,-4
"50","Wandsworth",20,19,-4
"51","Manchester",23,22,-3
"52","Knowsley",5,5,-3
"53","Wokingham",9,9,-2
"54","Southend-on-Sea",11,11,-2
"55","Telford and the Wrekin",5,5,-1
"56","Hackney",15,15,0
"57","Newcastle upon Tyne",10,10,0
"58","Swindon",6,6,0
"59","North Lincolnshire",7,7,0
"60","Cheshire East",10,10,1
"61","Ealing",15,15,2
"62","Milton Keynes",7,7,2
"63","Bracknell Forest",9,9,2
"64","Devon",14,15,3
"65","Lincolnshire",15,15,3
"66","Southwark",18,19,3
"67","North Tyneside",7,7,3
"68","Camden",13,14,6
"69","Cumbria",10,10,7
"70","Sandwell",37,41,8
"71","Kingston upon Hull",7,8,8
"72","Liverpool",15,16,9
"73","Isle of Wight",7,8,9
"74","Oldham",13,14,10
"75","Enfield",13,14,12
"76","Lewisham",12,13,13
"77","St Helens",19,21,14
"78","Redbridge",15,17,17
"79","Lancashire",20,23,18
"80","Merton",11,13,20
"81","West Sussex",17,20,21
"82","Torbay",4,5,22
"83","Tower Hamlets",27,33,23
"84","Nottinghamshire",25,31,24
"85","Norfolk",16,20,25
"86","Cheshire West and Chester",19,24,26
"87","Hammersmith & Fulham",15,19,27
"88","Cambridgeshire",10,13,32
"89","East Sussex",8,10,33
"90","Leicester City",11,15,34
"91","North Somerset",6,9,36
"92","City of Nottingham",7,10,37
"93","Brent",9,12,37
"94","Darlington",15,21,37
"95","Salford",10,13,38
"96","Bexley",12,16,38
"97","City of London",48,67,38
"98","Blackburn with Darwen",4,6,43
"99","Kent",26,37,44
"100","Northumberland",28,40,44
"101","Haringey",11,15,46
"102","Somerset",14,21,48
"103","Slough",5,8,49
"104","Barnsley",10,15,50
"105","Windsor & Maidenhead",5,7,53
"106","Gloucestershire",12,19,58
"107","Leeds",16,26,59
"108","Harrow",6,10,59
"109","Peterborough",4,6,60
"110","Stoke-on-Trent",5,9,61
"111","Rotherham",6,10,66
"112","Essex",33,55,67
"113","Bradford",15,25,68
"114","Leicestershire",9,16,77
"115","Wirral",14,25,81
"116","Hounslow",9,17,81
"117","Waltham Forest",8,15,82
"118","Westminster",32,59,82
"119","Walsall",8,15,84
"120","Bedford",7,14,87
"121","Oxfordshire",13,26,99
"122","Luton",7,14,106
"123","Plymouth",12,24,106
"124","Barking & Dagenham",8,17,111
"125","Staffordshire",12,26,112
"126","Hillingdon",19,40,113
"127","Bristol",9,20,126
"128","Stockport",8,17,126
"129","Doncaster",5,12,132
"130","Cornwall",15,36,143
"131","Wakefield",6,15,146
"132","South Tyneside",1,3,148
"133","Sefton",4,9,149
"134","Solihull",7,19,155
"135","Middlesbrough",6,15,165
"136","Kingston upon Thames",4,12,192
"137","Bolton",3,11,218
"138","Warwickshire",8,29,257
"139","Rutland",2,9,298
"140","Central Bedfordshire",5,25,358
"141","Suffolk",12,55,370
"142","Thurrock",2,11,403
"143","Dudley",3,27,696
"144","Kensington & Chelsea",1,10,900
"145","Shropshire",2,26,956
"146","Birmingham",11,170,1392
"147","Croydon",0,11,Inf
"148","Derby City",0,11,Inf
"149","Richmond upon Thames",0,10,Inf
"150","North Yorkshire",7,NA,NA
"151","Reading",7,NA,NA
